"filename", "language", "JSON", "JSON with Comments", "TypeScript", "Docker", "JavaScript", "Go Checksum File", "Go", "Vue", "MS SQL", "YAML", "Dotenv", "SCSS", "XML", "HTTP", "Go Module File", "Markdown", "HTML", "comment", "blank", "total"
"c:\Users\lrj32\Desktop\music player\localmusicplayer\.env", "Dotenv", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 6, 4, 15
"c:\Users\lrj32\Desktop\music player\localmusicplayer\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 4, 8
"c:\Users\lrj32\Desktop\music player\localmusicplayer\auto-imports.d.ts", "TypeScript", 0, 0, 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 1, 78
"c:\Users\lrj32\Desktop\music player\localmusicplayer\components.d.ts", "TypeScript", 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 3, 49
"c:\Users\lrj32\Desktop\music player\localmusicplayer\dist-electron\main.js", "JavaScript", 0, 0, 0, 0, 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 74
"c:\Users\lrj32\Desktop\music player\localmusicplayer\dist-electron\preload.mjs", "JavaScript", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 22
"c:\Users\lrj32\Desktop\music player\localmusicplayer\electron\main.ts", "TypeScript", 0, 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 17, 107
"c:\Users\lrj32\Desktop\music player\localmusicplayer\electron\preload.ts", "TypeScript", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 26
"c:\Users\lrj32\Desktop\music player\localmusicplayer\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 4, 20
"c:\Users\lrj32\Desktop\music player\localmusicplayer\package.json", "JSON", 94, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 95
"c:\Users\lrj32\Desktop\music player\localmusicplayer\pnpm-lock.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 5664, 0, 0, 0, 0, 0, 0, 0, 0, 1570, 7234
"c:\Users\lrj32\Desktop\music player\localmusicplayer\public\images\ico\user-filling.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\lrj32\Desktop\music player\localmusicplayer\public\images\logo\favicon.png", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\lrj32\Desktop\music player\localmusicplayer\server\cmd\main.go", "Go", 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 10, 45
"c:\Users\lrj32\Desktop\music player\localmusicplayer\server\config.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 5, 28
"c:\Users\lrj32\Desktop\music player\localmusicplayer\server\dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\lrj32\Desktop\music player\localmusicplayer\server\go.mod", "Go Module File", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 82, 0, 0, 0, 4, 86
"c:\Users\lrj32\Desktop\music player\localmusicplayer\server\go.sum", "Go Checksum File", 0, 0, 0, 0, 0, 232, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 233
"c:\Users\lrj32\Desktop\music player\localmusicplayer\server\internal\Helper.go", "Go", 0, 0, 0, 0, 0, 0, 101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 19, 143
"c:\Users\lrj32\Desktop\music player\localmusicplayer\server\internal\Helper_test.go", "Go", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\lrj32\Desktop\music player\localmusicplayer\server\internal\Manager.go", "Go", 0, 0, 0, 0, 0, 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 16, 92
"c:\Users\lrj32\Desktop\music player\localmusicplayer\server\internal\Manager_test.go", "Go", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\lrj32\Desktop\music player\localmusicplayer\server\internal\global\config.go", "Go", 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 12, 122
"c:\Users\lrj32\Desktop\music player\localmusicplayer\server\internal\global\keys.go", "Go", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 9
"c:\Users\lrj32\Desktop\music player\localmusicplayer\server\internal\global\result.go", "Go", 0, 0, 0, 0, 0, 0, 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 17, 96
"c:\Users\lrj32\Desktop\music player\localmusicplayer\server\internal\handle\base.go", "Go", 0, 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 13, 78
"c:\Users\lrj32\Desktop\music player\localmusicplayer\server\internal\handle\cache.go", "Go", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\lrj32\Desktop\music player\localmusicplayer\server\internal\handle\handle_auth.go", "Go", 0, 0, 0, 0, 0, 0, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 27, 160
"c:\Users\lrj32\Desktop\music player\localmusicplayer\server\internal\handle\handle_auth_test.go", "Go", 0, 0, 0, 0, 0, 0, 103, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 21, 135
"c:\Users\lrj32\Desktop\music player\localmusicplayer\server\internal\handle\handle_file.go", "Go", 0, 0, 0, 0, 0, 0, 86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 22, 124
"c:\Users\lrj32\Desktop\music player\localmusicplayer\server\internal\handle\handle_file_test.go", "Go", 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 16, 76
"c:\Users\lrj32\Desktop\music player\localmusicplayer\server\internal\handle\handle_song.go", "Go", 0, 0, 0, 0, 0, 0, 254, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 52, 347
"c:\Users\lrj32\Desktop\music player\localmusicplayer\server\internal\handle\handle_system.go", "Go", 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 22
"c:\Users\lrj32\Desktop\music player\localmusicplayer\server\internal\middleware\auth.go", "Go", 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 15, 96
"c:\Users\lrj32\Desktop\music player\localmusicplayer\server\internal\middleware\base.go", "Go", 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 29
"c:\Users\lrj32\Desktop\music player\localmusicplayer\server\internal\model\Metadata.go", "Go", 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10, 41
"c:\Users\lrj32\Desktop\music player\localmusicplayer\server\internal\model\Playlist.go", "Go", 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 23
"c:\Users\lrj32\Desktop\music player\localmusicplayer\server\internal\model\Song.go", "Go", 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 12, 51
"c:\Users\lrj32\Desktop\music player\localmusicplayer\server\internal\model\SystemSetting.go", "Go", 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 37
"c:\Users\lrj32\Desktop\music player\localmusicplayer\server\internal\model\User.go", "Go", 0, 0, 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 13, 76
