"filename", "language", "TypeScript", "Markdown", "JSON", "Vue", "TOML", "HTTP", "HTML", "Go Module File", "Python", "YAML", "Go Checksum File", "Go", "XML", "JavaScript", "comment", "blank", "total"
"c:\Users\lrj32\Desktop\music player\localmusicplayer\README.md", "Markdown", 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 59
"c:\Users\lrj32\Desktop\music player\localmusicplayer\components.d.ts", "TypeScript", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35
"c:\Users\lrj32\Desktop\music player\localmusicplayer\dist-electron\main.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -71, -2, -1, -74
"c:\Users\lrj32\Desktop\music player\localmusicplayer\dist-electron\preload.mjs", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -20, -1, -1, -22
"c:\Users\lrj32\Desktop\music player\localmusicplayer\electron\main.ts", "TypeScript", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 32
"c:\Users\lrj32\Desktop\music player\localmusicplayer\package.json", "JSON", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"c:\Users\lrj32\Desktop\music player\localmusicplayer\pnpm-lock.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 4, 35
"c:\Users\lrj32\Desktop\music player\localmusicplayer\public\images\logo\favicon.png", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, -1
"c:\Users\lrj32\Desktop\music player\localmusicplayer\public\images\logo\favicon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\lrj32\Desktop\music player\localmusicplayer\public\loading.html", "HTML", 0, 0, 0, 0, 0, 0, 70, 0, 0, 0, 0, 0, 0, 0, 0, 4, 74
"c:\Users\lrj32\Desktop\music player\localmusicplayer\server\.air.toml", "TOML", 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 27
"c:\Users\lrj32\Desktop\music player\localmusicplayer\server\api_test_scan.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 66, 0, 0, 0, 0, 0, 8, 15, 89
"c:\Users\lrj32\Desktop\music player\localmusicplayer\server\cmd\main.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 1, 5
"c:\Users\lrj32\Desktop\music player\localmusicplayer\server\config.toml", "TOML", 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 29
"c:\Users\lrj32\Desktop\music player\localmusicplayer\server\go.mod", "Go Module File", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 9
"c:\Users\lrj32\Desktop\music player\localmusicplayer\server\go.sum", "Go Checksum File", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 22
"c:\Users\lrj32\Desktop\music player\localmusicplayer\server\internal\Helper.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 3, 35
"c:\Users\lrj32\Desktop\music player\localmusicplayer\server\internal\Manager.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 2, 4, 33
"c:\Users\lrj32\Desktop\music player\localmusicplayer\server\internal\global\config.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 1, 1, 8
"c:\Users\lrj32\Desktop\music player\localmusicplayer\server\internal\global\result.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, 0, 0, -1, -1, -6
"c:\Users\lrj32\Desktop\music player\localmusicplayer\server\internal\handle\handle_auth.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 113, 0, 0, 20, 23, 156
"c:\Users\lrj32\Desktop\music player\localmusicplayer\server\internal\handle\handle_file.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -44, 0, 0, -8, -9, -61
"c:\Users\lrj32\Desktop\music player\localmusicplayer\server\internal\handle\handle_history.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 88, 0, 0, 6, 17, 111
"c:\Users\lrj32\Desktop\music player\localmusicplayer\server\internal\handle\handle_search.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 91, 0, 0, 4, 17, 112
"c:\Users\lrj32\Desktop\music player\localmusicplayer\server\internal\handle\handle_song.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 290, 0, 0, 34, 54, 378
"c:\Users\lrj32\Desktop\music player\localmusicplayer\server\internal\handle\handle_system.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 105, 0, 0, 12, 20, 137
"c:\Users\lrj32\Desktop\music player\localmusicplayer\server\internal\middleware\auth.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -35, -4, -39
"c:\Users\lrj32\Desktop\music player\localmusicplayer\server\internal\middleware\stats.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 1, 4, 17
"c:\Users\lrj32\Desktop\music player\localmusicplayer\server\internal\model\History.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 53, 0, 0, 5, 11, 69
