"filename", "language", "TypeScript", "Markdown", "JSON", "JSON with Comments", "Vue", "HTML", "TOML", "YAML", "Docker", "HTTP", "XML", "SCSS", "Go Module File", "Python", "Go Checksum File", "Dotenv", "Go", "MS SQL", "JavaScript", "comment", "blank", "total"
"c:\Users\lrj32\Desktop\music player\localmusicplayer\.env", "Dotenv", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 6, 4, 15
"c:\Users\lrj32\Desktop\music player\localmusicplayer\README.md", "Markdown", 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 67
"c:\Users\lrj32\Desktop\music player\localmusicplayer\auto-imports.d.ts", "TypeScript", 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 1, 78
"c:\Users\lrj32\Desktop\music player\localmusicplayer\components.d.ts", "TypeScript", 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 3, 84
"c:\Users\lrj32\Desktop\music player\localmusicplayer\electron\main.ts", "TypeScript", 91, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 21, 139
"c:\Users\lrj32\Desktop\music player\localmusicplayer\electron\preload.ts", "TypeScript", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 26
"c:\Users\lrj32\Desktop\music player\localmusicplayer\index.html", "HTML", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 20
"c:\Users\lrj32\Desktop\music player\localmusicplayer\package.json", "JSON", 0, 0, 97, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 98
"c:\Users\lrj32\Desktop\music player\localmusicplayer\pnpm-lock.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 5695, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1574, 7269
"c:\Users\lrj32\Desktop\music player\localmusicplayer\public\images\ico\user-filling.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
